company,gross
Sega Sammy Group,1195892296
Blur Studio,1195892296
Red Hour Productions,1192291970
Lucamar,1184633325
Film4,1179140651
Reliance BIG Entertainment,1168625410
Animal Logic,1163730878
Montecito Picture Company,1159851592
Mad Ghost Productions,1148861807
Olive Bridge Entertainment,1147310169
Maverick Films,1138185985
Anonymous Content,1137612162
TIK Films,1137424981
Kevin Feige,1120673696
Trigger Street Productions,1112995853
B23,1110526981
Gaumont,1097870720
Valhalla Motion Pictures,1093657955
Aardman Animations,1083442207
Nippon Television Network,1080822897
Hartbeat Productions,1076467710
3 Arts Entertainment,1073716043
Anton Capital Entertainment,1073294554
Eddie Murphy Production,1072340697
Practical Pictures,1069448169
Team Todd,1058849462
Radar Pictures,1046991283
Hutch Parker,1044877773
David Brown,1037291750
France 2 Cinema,1035479018
Edko Films,1031168818
Tig Productions,1027750565
Wendy Fineman Productions,1022789091
Laurence Mark,1004784456
Rogue Pictures,996324566
Brandywine,991713180
Apple Original Films,988806424
K/O Paper Products,987733286
Gotham Group,987207489
Alibaba Pictures,982158622
Dreamworks LLC,981045531
Detective Agency,978473427
Littlestar,977478915
Maximum Effect,971261040
Cinecinema,969666309
Bazmark,968355803
7 Bucks Productions,968336451
Duncan Henderson Productions,962575067
On The Roam,957181519
Mojang Studios,957181519
Scholastic Entertainment Inc.,948321915
Chris Morgan Productions,946733685
American Zoetrope,945892596
PolyGram Filmed Entertainment,945550777
Beijing Jingxi Culture and Tourism Company,943435293
Beacon Pictures,940925373
Monkeypaw Pictures,936816347
Waverly Films,930673017
Image Nation Abu Dhabi,929753506
Apelles Entertainment,927776775
HBO Films,924902391
Grive Productions,923703318
Birnbaum/Barber,916754397
Pathe,909951089
Smart Entertainment,909231281
Beaglepug,903731457
Radiant Productions,899284250
Protozoa Pictures,897822774
Contrafilm,897102615
Twisted Pictures,890755094
Solana Films,890417130
Access Entertainment,887167478
Film 4,882996614
Sikelia Productions,882305656
Queen Films,879088897
Fuzzy Door,875284575
Will Packer Productions,870259542
Good Universe,869896500
Closest to the Hole,865510109
Beijing Universe Starlight Culture Media Company,861163762
Robert Simonds Company,858567795
Jon Peters,846370135
CBS Films,844130535
Lynda Obst Productions,839508164
Di Novi Pictures,831023944
STX Films,825085729
Dark Castle Entertainment,824182548
Wanda Pictures,822963408
Carolco Pictures,817383945
Seed Productions,816471793
Proximity Media,815016419
Genre Films,814300824
Newmarket Films,802975776
See-Saw Films,799719831
CJ Entertainment,795843544
Pariah Productions,794996975
Sunday Night,794376575
Black Label Media,793101208
Huaxia Film & Distribution Coroporation,792470997
Bonnie Arnold,791589066
Open Road Films,790176652
Wild Bunch,789230271
Junction Entertainment,788649214
New Republic Pictures,779854195
China Film Group,774622751
6th and Idaho,772512903
Dylan Clark Productions,772512903
Wonderland Sound and Vision,768171276
Simon Kinberg,766765573
Brownstone,765171058
Initial Entertainment Group,760022235
Infinitum Nihil,751129772
Mark Canton,748266008
KatzSmith Productions,747628454
Neon Films,746640062
Double Dream,744560735
STX Entertainment,741421723
2Dux2,738686614
The Bedford Falls Company,736310575
Bay Films,732519443
Bingo Movie Development,731686218
IM Global,731613251
River Road Entertainment,726918796
Offspring Entertainment,726158033
Amazon Studios,722817607
Esperanto Filmoj,715660793
Tall Trees,711359045
Darren Star,709928036
Sommers Company,707231868
Ghost House Pictures,704095417
Orion Pictures,689366568
Cube Vision,688746482
Ufotable,687922664
Paramount Animation,683852473
Shanghai Film Group,683591587
Studio Babelsberg,680439077
Steve Tisch Productions,679835137
Moritz Borman,679259169
Vertigo Films,677285647
Beijing Mahua Funage Company,674252946
Allison Shearmur,671645767
Smokehouse Pictures,671383025
Leverage,669952600
Rough House Pictures,669734617
Sony Pictures Classics,667419846
Misher Films,665863089
Double Dare You,664732825
Troll Court Entertainment,661522508
Arthur Sarkissian,659728955
Guillermo del Toro,656801506
Shanghai New Culture Media Group,655007628
Burg-Knoules,652040377
Wrigley Pictures,651855975
Sidney Kimmel Entertainment,650848508
Chartoff Winkler Productions,650678742
Quad Films,649551651
DNA Films,647242707
Bernd Eichinger,644067846
Blue Wolf,643459003
United Entertainment,641568435
QED International,638583903
Section Eight,637097186
Flower Films,635980778
M. Productions,635482685
Samuel Goldwyn Films,628937211
Lego Systems A/S,628138447
Pacific Western,627320538
Tokuma Shoten,627049100
Blue Light,626695807
Tyler Perry Studios,625770070
Gravity Pictures,623280595
Strike Entertainment,623137435
Ronald Shusett,620224398
Haishang Films,619310368
Hehe Pictures Co Ltd,618156214
Gunnfilms,618074081
Wayfarer Studios,617662921
Marvel Entertainment,615486510
Enlight Pictures,615369690
Josephson Entertainment,610901710
Big Talk Pictures,609903892
Four by Two Films,609021136
Sean Daniel Company,608419332
Laika,605964055
Katja Motion Picture Corporation,598305103
Exclusive Media Group,596129880
Intermedia Film,593693238
Michael Bay,591639656
France 3 Cinema,588716295
Guber-Peters,588643052
The Star Overseas,580269693
Room 101,578612519
Steven Spielberg,576942849
Kennedy Miller Mitchell Productions,576197226
Dino De Laurentiis,576011345
Zhiv,574347365
Dickhouse,571724856
Tapestry Films,571280495
Forward Pass,568992231
Cold Springs Pictures,566025287
Momentum Pictures,565536313
Depth of Field,564460925
Emmett/Furla Films,562360875
Charles B. Wessler Entertainment,561765607
Why Not Productions,559983635
Pearl Street,559155303
Mirage,558599339
Image Entertainment,557378913
Blueprint Films,551342223
Shangri-La Entertainment,548291750
22nd & Indiana,547626372
Gilbert Films,547287266
Black Bear,545291052
Toei Animation,543943571
Indian Paintbrush,543734208
Wild West Picture Show,542486905
Searchlight Pictures,542486286
Screen Australia,541143137
Le Grisbi,540828262
Cannell Studios,534146305
Brad Grey,532275689
Endgame Entertainment,532194986
Roger Birnbaum,532012588
Radical Studios,531305247
France Television,530816214
Maeday Productions,529243742
Flagship Entertainment,529243742
On a Roll Productions,529243742
Riche-Ludwig,527443286
Matt Groening,527071022
Rat Entertainment,526320405
Zeyue Media,523758236
Zenith Culture Broadcast,523758236
xxxKxx,523758236
Alpha Pictures Investment Co.,523758236
Sahdy Acres,522783411
Chaocorp,521008769
Zhong Ming You Ying Film,520189225
Oriental DreamWorks,520189225
Double Feature Films,519326182
Goldcrest Films,519108419
Tree Line Film,517630690
DDY,515121251
Feigco Entertainment,515060468
Lucy Fisher,514774098
Berlanti Productions,512803165
Imposter Pictures,510771497
Huayi Brothers International,508274713
BFI,506708027
Mirage Enterprises,505611506
Geffen Pictures,505567712
Robert Rehme,504780938
Rovio Animation,504543529
Paramount Players,503237153
Stuber Pictures,498250992
Hyde Park Entertainment,498183773
FilmDistrict,498133428
Ten Films,495738303
Omnijoi,492024215
Curtis-Donen Productions,490359051
The Jackal Group,488704699
Callahan Filmworks,488115912
Leonard Goldberg,486899363
Hoffman,485574279
Nick Wechsler,485372128
Gama Entertainment,485028891
Mednick Productions,485004754
Heavy Metal,485004754
Pitt Bull,484468608
Media Asia Films,482834149
Rocket Pictures,482192276
Alcor Films,481130112
Apatow Productions,475995889
Voltage Pictures,475873460
FPS,474590832
Firm Films,474528845
Imperative Entertainment,473949871
Neal H. Moritz,473658372
Neal Street,472863446
Zanuck/Brown,471355047
Bona Entertainment Company,471177364
Gravier Productions,469941376
Vendian Entertainment,468950254
DayDay Films,467467320
Groucho II Film Partnership,466281862
Huanxi Media Group Limited,464904968
Mythology Entertainment,464464365
American Empirical,463483520
Aegis Film Fund,462563756
Film 44,462323934
Rainforest Films,462105405
GKIDS,461792134
Good Machine,459007970
SK Global,458766108
TF1 International,458255754
United Plankton Pictures,457875226
Dark Horse Entertainment,455393224
"As One Pictures Co., LTD.",454950143
Big Kid Pictures,454642414
Amazon MGM Studios,452667965
Beijing Talent International Film Co,452164897
Red Granite Pictures,452097892
State Street Pictures,452016670
Tommy Harper,451980048
Marc Toberoff,451980048
Dirty Monkey Films Group,451183392
Interscope Films,450408931
Celador Films,449761788
LD Entertainment,448093434
Molinare,447824258
Zhejiang Bona,447452891
David Entertainment Company,447449374
Affirm Films,444290374
ASAP Films,443649587
A Keith Barish,442813185
Spyglass Media Group,442443585
IMAX Corporation,441545500
OCS.,441394574
Blizzard Entertainment,438899824
Emjag,438072716
Live Nation Productions,437204399
Yash Raj Films,436533054
Bill Gerber,436388866
Cameron Mackintosh,435292452
Eidos Interactive,430423128
Huahua Film,430371053
Bedlam,430230466
John Davis,429314499
Alliance Films,429000838
HanWay Films,428103557
Lawrence Bender,427650666
EON Enterprises,427300260
Runteldat Entertainment,426362070
Karz Entertainment,425654602
Conundrum Entertainment,425548106
Sparkle Roll Media Corporation,425111934
Dharma Productions,421169636
Mayhem Pictures,419993970
Jack Giarraputo,418832929
Silverbell Films,417341288
Wayne Rice,417173367
Amblin Partners,416731894
Captivate Entertainment,416168316
BCDF Pictures,415173683
Tohokushinsha,412825191
Conspiracy Factory,409953905
Secret Hideout,409953905
Craven,405842521
Maddalena,405842521
Buena Vista Home Entertainment,405440459
G-Base,404814454
Project X Entertainment,404444507
"Chartoff Productions, Inc.",404295434
Outlaw Productions,403858738
Dream Sky Pictures,403635865
Fortis Films,401357811
Lloyd Levin,401320793
Oddball,401067698
Westbrook Studios,400723743
Out of the Blue Entertainment,399910818
Cott Productions,399590841
Malek Akkad,399329735
Telecinco Cinema,398821531
Jason T. Reed Productions,397369969
DisneyToon Studios,394459213
Zide Pictures,391810376
Spring Creek Prod,390749098
IMF,389294809
Kennedy Miller,387415711
Fried Films,386820499
Giant Pictures,386436315
Zaftig Films,386005803
Pandemonium,385119190
Wind Dancer Films,384276691
Ingenius Film Partners,382288147
Echelon Studios,381693805
Niu Vision Media,381693805
IQIYI Motion Pictures,380004203
Gulfstream Pictures,378804804
Zadan/Meron,377630306
Anarchos Productions,376806573
QC Entertainment,376482082
Independent Pictures.,376000000
Entertainment 360,375124107
Element Pictures,374005479
Avi Arad,373807069
Halcyon Company,373693633
Asia Pacific Films,373071961
Television Media,372563758
E Mei Film Group,372563758
Yunnan Jincai Shijie Pictures,372563758
Lamb Film,372563758
Chong Qing Film Group,372563758
CAAC News,372563758
Shanghai Fuyi Media,372563758
Sichuan Aviation Culture Media Advertising Company,372563758
Zhongzhi Enterprise Group,372563758
Beijing Huaming Xingkong International Media,372563758
Inner Mongolia Film Group,372563758
Xiu Shanfang Culture and Art Company,372563758
The Fyzz Facility,370935140
Irish Film Board,370908635
BoulderLight Pictures,369158790
TPS Star,367968288
Reuben Cannon Productions,367930621
Automatik,365729250
Aamir Khan Productions,365663498
Tollin/Robbins,364321589
Notting Hill Pictures,363713167
Todd Phillips,362000072
Tianjin Lianrui Pictures Co,361487295
Hakuhoda,361400826
Fundamental Films,360792610
Blue Tulip,358824714
Gary Goldman,358824714
Likely Story,358074975
A&E Indiefilms,357941619
Walt Disney Japan,356658763
OddLot Entertainment,355934043
Arnold Kopelson,353808222
Infinite Detective,353166307
Secret Machine Entertainment,353166307
Horseshoe Bay,353149242
Spin Master,353142711
Hey Eddie,351498690
T-Street,350924989
Polygram Pictures,350121413
Sil-Metropole Organisation,349504004
Studio 8,349045574
Mediastream IV,348629585
Lawrence Mark,348629585
EMI,345463330
Vendome Pictures,345231688
RK Films,345033359
Kickstart,342422607
Lit Entertainment Group,342298841
BDI Films Inc,340969819
Phillips,340800479
Heyi Pictures,340620574
Barry Sonnenfeld,340384141
Film i Vast,339228495
LBI Entertainment,338969944
RVK,338382244
Shenzhen Tencent Video Culture Communication LTD.,336469621
Ghoulardi Film Company,336424669
Yellow Bird,335721180
Sneaky Shark,335673708
Konrad Pictures,334201377
Disney Nature,333621946
BNP Paribas Film Fund,333130762
Hercules Film Fund,332962564
Moving Pictures,332877106
New Classic Media,332421052
Virtual Studios,332295923
Peters Entertainment,331245147
Gianni Nunnari,330780051
Nancy Tenenbaum,330425040
Torridon Films,330272537
Nuyorican,330198712
Media Capital Technologies,329939477
Intrepid Pictures,329505511
Overture Films,329100713
Juno Pix,328908073
Baltimore Spring Creek Pictures,328786512
Fountainbridge Films,328566845
Dune Vision,328185829
Martin Bregman,328046001
Darkwoods,328007708
Bedford Falls,327858033
Team Downey,327582850
Mr. Mudd,327133759
Outlier Productions,327050117
Jaffe-Lansing Production,326299997
Mystery Clock Cinema,325287073
Shine Asia Media Company,325138847
Telefilm Canada,325004587
Cinetic,323197249
Maximum Effort,323078841
Fairbanks,322459006
Timur Bekmambetov,321982859
Free State Pictures,321272739
Jim Henson Productions,320868814
Golden Mean,320838625
Smoke House Pictures,320398301
Innisfree Pictures,320298183
Whitaker Entertainment,320236285
Rahway Road,319540801
Evergreen Pictures,319339402
Millennium Media,318699269
Ivan Reitman Production,317931639
Zehnte Babelsberg,316802281
Freshman Year,315630814
Fireside Film Company,315630814
Shannan Enlight Pictures Co.,315183381
Company Films,313003279
TPS Company,312558646
Eric's Boy,312383487
Ludlum Entertainment,311001124
Belga Films,310987741
Decibel Films,310527099
Lorimar Film Entertainment,310337702
Wayans Brothers Entertainment,309424624
Rysher Entertainment,307962205
Electric Entertainment,307313296
Christina Steinberg,306941670
Producer Circle Company,306770545
Perdido,306156407
Mandalay Vision,306070923
Mike Zoss,305402980
"Furia de Titanes II, A.I.E",305270083
Subconscious,304851601
Ixtlan Productions,304729398
Great Oaks,304200000
Lipsync Productions,303353898
Hedgehog Films Inc,303225597
Burr! Productions,302885548
Start Motion Pictures,302239672
Aggregate Films,301488391
Bona Fide,301359360
Crave Films,300721024
Anabasis Investments,300400000
Dovemead Ltd.,300200000
Eagle Pictures,300095911
Bazelevs Company,299559370
Gold-Miller,299430840
Pantelion Films,299324834
Predawn,298923419
Jerry Zucker,298923419
Franklin/Waterman,298815224
RT Features,297529488
MCEG,297100000
40 Acres and a Mule Filmworks,296865034
Visualizer Film,296528678
Gratitude International,296521044
Carnival Films,296177538
Monolith Pictures,295761838
Harbinger Pictures,295374545
Chinavision Media Group,294330994
Orange Studio,294027928
UpperRoom Entertainment Limited,293736507
Katalyst Films,293327229
The Picture Company,292094560
Current Entertainment,291695960
Sun Entertainment Culture,290865995
Ivanhoe Pictures,290601557
The Harvey Entertainment Company,290277077
Constance Marks Productions,289969461
Douglas/Reuther,288359770
Columbus 81 Productions,287594577
Tin Tin,287427451
Lisa Stewart,286896578
Bold Films,286454515
Alphacore,286192091
A Bigger Boat Productions,285419983
Doshudo Productions,285400000
Blind Wink,284459095
Envision Entertainment,284423833
DreamWorks SKG,284313188
Herrick Entertainment,283273957
Jim Morris,282778100
Robert Stigwood,282399968
Oren Peli,282374670
Crooked Highway Productions,281889914
Guy Walks Into a Bar,281591030
Square Enix Business,281430783
Golden Harvest,280656813
Serendipity Prods,279605274
Bristol Bay Productions,279552883
Double Nickel Entertainment,279402799
Roadside Attractions,278687163
Winkler Films,278638428
Electric City Entertainment,278003664
Roth/Arnold,277847617
Killer Films,277717242
Bandito Brothers,277046369
Aversano Films,277044605
1212 Entertainment,276725790
The Entertainer Production Company,276576636
Silver Screen Partners IV,274505435
Borden and Rosenbush Entertainment,274392880
Denver & Delilah Films,273335933
On The Day Productions,272626185
Sogecine,272020925
Village Roadshow Asia,271964278
Montford Murphy,271715166
The Disco Factory,271467507
Barunson E&A,271414087
Phantom Four,271360502
Star Thrower Entertainment,271179292
Jon Shestack,269878674
Bullwinkle Studios,269806430
Cinesite,269325603
Right of Way Films,269167328
Safehouse Pictures,267924073
Newman/Tooley,267816276
Slap Happy Productions,267816276
Sherry Lansing,266600000
El Deseo,265067219
Redwave Films,264923615
Arka Media Works,264702288
Pathe Renn Productions,264281389
Ambi Media Group,263597111
AA Films,263502914
Big Beach,263482077
Imaginary Forces,262752750
Amen Ra Films,262590853
Campbell Grobman Films,262537934
DMC Film,262217914
Lava Bear Films,261935032
Channel Four Films,261764836
Major Studio Partners,261443242
The Michael Jackson Company,261183588
Limelight,260972679
David Permut,260885572
Marcy Media,260458150
Prime Focus World,260123760
Boxing Cat,260056496
TTK Productions,260018043
IPR.VC,259967049
Khorgos Youth Enlight Pictures,259939708
Pin High,259512210
Clubhouse Pictures,259155870
Bud Yorkin,259154159
Ridley Scott Associates,259154159
16:14 Entertainment,259154159
Thunderbird Films,259154159
Renaissance Films,258864808
Pink Machine,258751370
Todd Garner,258751370
Windy Hill Pictures,258682489
Arte France Cinema,258613681
Ombra Films,258544204
Wagner Productions,258507584
Rastar Production,258455911
Keep Your Head,257518050
Next Entertainment,257470653
Provident Films,257274565
August First Film Studios,255742933
Lorne Michaels,255504825
Buena Vista Intl,255474818
DNEG Animation,255441433
One Cool Group Limited,255441433
Demarest Films,255214478
Vinson Pictures,254979923
Silver Reel Entertainment,254718726
Virgin,254551628
Ram Bergman Productions,254307434
Sketch Films,252521816
Mandalay Entertainment,252325146
Cedar Park Entertainment,251730482
Ruby Films,251721927
Crystal Sky Pictures,251166777
Artisan Entertainment,250822928
Santa Fe Films,250729678
Punch Palace Productions,250420511
Levantine Films,249231326
Haxan Films,248715398
Far East Films,248659530
Simon Fields Productions,247603179
Flashlight Films,247185795
Clark Spencer,245799997
BlindWink,245724600
Vanguard Films,245188811
Principato-Young Entertainment,244956609
Hypnotic,244780708
IAC Films,244402780
New Legacy Film,243665314
Film Croppers Entertainment,243492814
Charlotte Huggins,243180937
Vinyl Films,242678062
Le Vision,242483322
Hopscotch Features,242269738
Pearl Studio,242178840
Ubisoft Entertainment,241624371
Tiger Aspect Pictures,241351013
WCG,241199984
Electric Somewhere,239032921
Free Association,238817292
Versatil Cinema,238699877
RAI Cinema,238661480
Radio Silence,238619354
Nu Boyana,238314425
PalmStar Media,238164022
Ad Hominem Enterpises,237832902
Beijing Jinglin Saisi Culture Broadcast Company,237273381
Joy Leader,237273381
Woods Entertainment,237136559
Jiangsu Wenhua Dongrun Film and TV Culture,236445274
Little Stranger,235963177
Propaganda Films,235680285
Film Workshop Company,235658596
Motion Picture Alpha Produktionsgesellschaft,234981342
Lovefilm,234511888
Dog Eat Dog,232556451
Goodfellas Pictures,231864970
Tiger Moth Productions,231710008
Fat Kids Productions,231482787
Mars Films,231055211
Paramount Vantage,230691206
Ashok Amritraj,229433199
The Really Useful Group,229206475
Maiden Voyage Films,229193700
Further Films,228760119
Matthew Vaughn,228508342
Reperage,228417177
Yuk Films,228007169
MadRiver Pictures,227840337
Bristol Automotive,227328585
Strange Angels Productions,226545443
First Light,226362124
Waypoint Entertainment,225214307
Head Gear Films,224641987
Turnpike Films,224390706
Ilion Animation Studios,224099438
Hammer Films,223854484
Apaches Entertainment,223393510
Studio 37,223139675
UTV Communications,222949833
DJ Films,222574110
Mandalay Pictures,222366325
Universum Film,221477931
Conman & Izzy,221468935
Sonnenfeld-Joseph,221229335
Jim Czarnecki,221148959
Medusa Film,220033615
Edge City,219903984
Vestron Pictures,219893795
Focus Films,219860339
perfect world (Beijing) Pictures Co,219789302
Northern Lights Films,219478633
Material Pictures,218550347
Cloudy,217641526
Great American Films Limited Partnership,217163117
