company,gross
Harmon Kaslow & John Aglialoro Prods,8088406
Les Films de la Baleine,8087707
Panamax Films,8084948
Witt/Thomas Productions,8084251
Showtime Australia,8078683
Shinawil Productions,8076241
First Sun,8075307
Videa,8075307
Scout Productions,8054956
CJ 4DPLEX,8046363
ScreenX Studio,8045462
Concept Entertainment,8038792
Zeitgeist Films,8035345
Nac Films,8033866
SNC,8033866
Dawn’s Light,8030660
Bunya Productions,8027172
ERF-Edgar Reitz Filmproduktion,8016169
Luz y Sonidos,8004283
Sandy Howard Productions Corp.,8000000
Cultivator Films Australia,8000000
Fryer Carr and Harris,8000000
Studiocanal Australia,8000000
Sarlui,8000000
Astral Bellevue Pathe,8000000
Diamant,8000000
Brindle Films,8000000
Motlys,7998596
Neon Productions,7980691
City Films Entertainment,7971715
Eficine,7918329
Weathervane Productions,7903331
CKF Pictures,7903252
Indian Meadows Productions,7897453
Revolver Pictures Limited,7880568
Round Films,7877748
Wildfire Films,7876634
Classic Media Productions,7875911
Firstsight Films,7875911
Beijing Heaven Culture Development,7871627
China Vision Group,7871627
Thousand Words,7863875
Seine Pictures,7859978
Legends 10,7858997
Manon 3,7845205
Grand Canal Pictures,7835554
Kimble Rendall,7835554
Sleeping Otters Productions,7835554
Movie Central,7835166
Preger Entertainment,7834825
Waters Brothers,7834825
Representational Pictures,7828490
Rockview Pictures Entertainment,7808935
Messenger Entertainment,7808935
Moya Entertainment,7808935
Shenzhen Startime Culture Media,7808935
Serprocor Anstalt,7793587
MBC Studios,7788594
Wowpoint,7788452
North West Vision,7785229
Vocab Films,7777708
Idea(l),7777708
Cofinova 14,7777340
FishCorb Films,7776220
Archery Pictures,7768259
Manic Phase,7763523
RTP,7762561
Tax Shelter du Gouvernemant Federal,7761701
Tarantula,7750577
Credix,7738470
BoBo Producciones,7738470
Bibi Film,7727883
Premise Media Corporation,7720487
Holly Wiersma,7713345
Panic Films,7708242
Precision Films,7701707
Mack-Taylor Productions,7701707
Hotwells Productions,7692820
Reisman Productions,7691967
Harrison Productions,7691967
Still Rolling Productions,7691967
Film and Audiovisual Center of the Wallonia-Brussels Federation,7691077
"Maysles Films, Inc.",7685381
Impix Inc.,7683267
Dhrama Productions,7678147
Piney Pictures,7665865
Rescue Dog Productions,7665865
Vitamin A Films,7665865
Drafthouse Films,7648760
Part2 Filmworks,7645355
LeVision Pictures,7633397
Zhejiang Unique Media,7633397
China Movei Channel,7633397
Global Produce,7630897
Red Wave,7587272
Hubert Bals Fund,7583521
Theo Films,7579553
Buffalo Gal Pictures,7565486
01 Distribution,7555940
Dan Films,7552557
Hulu,7540479
Saga Film,7525158
Casa Kafka Pictures,7519884
Ukranian State Film Agency,7503300
Smoking Gun Productions,7482387
Mac Guff Belgium,7452731
Freedom Media,7421931
TDY Film Produktion,7418672
Inproduction,7418672
Polaris,7418672
Park Pictures Features,7389100
Ocean Blue Entertainment,7373393
Sunshine Pictures,7366187
Low Spark Films,7364632
Wonder Street,7362618
Tat Productions,7362459
Monkey Pack Films,7358843
Amour Fou Luxembourg,7357740
D8,7355896
The Film,7355896
Apidev 4,7355896
Rouge International,7345499
Margaret French Isaac Entertainment,7340000
Linda B. Huntington Productions,7340000
Viva Films,7324279
Optimum Releasing,7315871
Casablanca,7300132
Motown,7300132
Gasworks Media,7299662
MGC,7265283
Desert Wolf Productions,7265283
Troma Entertainment,7258862
Elite Filmproduktion,7258416
Yale Productions,7256443
Matt Baer Films,7244657
LTBL Productions,7241309
Original Media,7223039
Kylin Pictures,7220490
Anomally Entertainment,7220490
Heimafilm,7219785
Moxie Pictures,7214304
RSI Radiotelevisione Svizzera,7211890
Open River Entertainment,7208800
Santa Rita Pictures,7203628
Belgian Scope Invest,7200360
Braven Films,7195105
LC6 Productions,7195105
Bill and Ben,7179017
VB Pictures,7173421
GFM Films,7167019
New Native Pictures,7166900
Film Partners,7164577
DCP Productions,7155042
AZ Films,7148079
Lyca Productions,7138024
Paranoid Pictures,7132689
Cyrk,7128789
Bankside Films,7125788
Take 3,7106637
Brussels Capital Region,7106438
LM Media,7103600
You Want I Should,7103547
Sunbeam TV and Films,7103547
Human Woman,7103547
Chiodo Bros Productions,7103547
Mythos Studios,7100044
Percy Main,7099531
Code Entertainment,7099200
Le Fresnoy,7098139
iFeatures,7074723
Dream Bros Entertainment,7074124
Next World Entertainment,7063404
Joy Rabbit,7063404
Leopardo Filmes,7051142
Xlrator Media,7048949
Frakas Productions,7037270
Oldgarth Media,7030051
Janus Films,7023349
MPower Distribution,7022183
Lagniappe,7021651
Phil McIntyre Promotions,7019147
Mandolin Entertainment,7005468
Amka Films,7003822
Universal-Zanuck,7000000
Nutmeg Movies,6999221
TV2 Danmark,6999221
Les Films sur Mesure,6967780
ASA Production and Enterprises,6952492
"Regione Siciliana Tourism, Sport and Entertainment Department",6947137
GV Productions,6939122
WV Enterprises,6919968
Weston Pictures,6918014
Parachute Pictures,6916801
Rook Films,6914906
Zik Zak Filmworks,6912298
Paulo Branco,6888535
deutschfilm,6883170
UTV Spot Boy,6882054
Kenya Films,6881204
Martin Katz,6860624
Talandracas Pictures,6860624
Houston King Productions,6860379
Global Screen,6851235
Nordsvensk,6833208
Super Ltd,6821938
Shooting Star Film Company,6820238
Epithete Films,6811218
Blossom Films,6809636
Indiefilms 7,6789005
Cloudburst Entertainment,6788760
Full House,6786981
Green Moon Productions,6775458
Swedish Television,6775398
TMC Films,6774155
Iron Ocean Films,6770790
Highwire Pictures,6770790
La Region Normandie,6766655
Adventure Pictures,6764644
Endurance Pictures,6756412
Sun Pictures,6752320
Glacier Films,6742476
Monkeyboy,6721032
Region Poitou-Charentes,6712903
CN4 Productions,6712903
Region Wallonne,6712903
Ring Cine,6711584
Sofitcine,6703981
Secret Public Productions,6684049
Discovery Films,6680038
Sicilia Film Commission,6678936
Vortex Sutra,6667579
Spectrum Films,6664387
Danish Broadcasting Corporation,6655892
State Run Films,6653715
Le Centre National du Cinema et de L'Image,6640028
Shenghua Entertainment,6638908
Big Entrance,6636679
Big Hat Stories,6636679
Popcorn Storm,6630121
One Shoe Films,6628721
Spacemaker Productions,6624250
SModcast Pictures,6617108
COTA Films,6611062
Sira Productions,6607476
Michael Fiore Films,6601992
Volition Media Partners,6595047
Peapie Films,6593672
Second Stix Films,6591365
Level 1 Entertainment,6590172
One Story High,6575551
Mad River Pictures,6568084
Alexandre Films,6558026
02 Filmes,6553186
CS Films,6550709
Buffalo Film Company,6543832
Fiction Park,6540990
Ciudad Lunar,6535773
PW,6530796
Chester Films,6526377
FarmLore Films,6526377
Erica Messer Productions,6526377
"Lucky You Pictures, Inc.",6521829
Fastnet Films,6518394
Films Distribution,6517592
Globalgate Entertainment,6505959
Les Films du Cap,6500729
Praxis,6490549
Visual Works,6479980
Sixty Six Pictures,6477294
Storyline Studios,6472700
Tom Yoka,6457479
Licri Inc.,6457479
Abstract Media,6455717
Ivision,6427164
Cinema Libre Studio,6408524
Farmhouse Film & TV,6398807
Dignity Film Finance,6394643
Impress Telefilm,6391458
Menithings Productions,6387498
Kaleidoscope Entertainment,6386505
Lithuanian Film Studios,6379575
Definition Films,6362453
MIC,6361490
Parisienne de Production,6344320
Brio Films,6343235
Gunpowder and Sky,6339934
Indomitable Entertainment,6335173
Camp Greay Productions,6328516
Road Movies,6299062
CBC Films,6298689
Ezra,6298346
C2M Productions,6298346
Rosemonde Films,6298346
CinemaScopio,6294665
Bauer Martinez Studios,6292748
Madeleine,6290338
ECABA,6282801
Good Dog Distribution,6282366
Woss Group,6282366
Insceal,6279739
Palatine Etoile 14,6279150
Elipsis Capital,6264223
JamTart Films,6262056
Broadtalk,6262056
H2L Media Group,6258543
TinRes Entertainment,6255630
Dugan Entertainment,6255630
Madants,6246188
Eyeworks,6244429
Les Film du Wurso,6244037
Globo Filmes,6238764
Tempus Film,6223031
Neue Constantin,6217413
Universal 1440 Entertainment,6216897
Lightstream Pictures,6211743
Southern Lights Films,6211485
Union Entertainment Group,6209958
Kindred Spirit,6206444
Ari,6202405
New Star,6202405
Sweetland Films,6200000
Telling Pictures,6180158
Lift Productions,6176114
Emei Film Group,6167743
XIX Film,6165119
Pearce,6154944
Favre Productions Ltd,6152973
Marvelous Productions,6151912
Canyon Creek Films,6146520
Joi Productions,6140993
Sofitvcine 2,6129438
Henceforth Pictures Production,6120407
Projection Pictures,6111194
Sigma Films,6102765
Cinema Foundation of Russia,6088454
Bombero Intl.,6078012
Emporer Motion Pictures,6032958
Phoenix Legend Films,6032958
Love Spell Entertainment,6028936
Box Film,6028936
Graceworks Pictures,6020368
Calvary Pictures,6020368
Cinefrance 1888,6019738
Kunal Kohli,6004138
"Famartists Productions, S.A.",6000091
Team Effort Films,6000000
Ibermedia,5999582
Ezekiel Film,5996322
Destro Films,5987773
BorderLine Films,5984094
TMP,5983043
SSS Entertainment,5977749
Rapsodie Productions,5969923
Useful Productions,5969923
Sofica Hoche Artois Images,5969923
TRAUMHAUS Studios,5969450
Mark Magidson,5966671
Magidson Films,5966671
Staccato,5965646
Corrino,5965646
Foreign Media,5965646
Tulchin Enterainmnet,5965646
Film Finance VI,5965646
FIP Malta,5965646
Ren Film,5953886
USA Films,5946842
Rabbits Black,5938172
Shine Global,5931110
Belfius Zielke Strat Et Go International,5922861
Adulthood Limited,5922805
Astrakan Films AB,5920368
Cross City Sales,5918460
Federal Films,5917412
Mer Film,5912415
Me Contro Te,5909462
The Blood of Wolves,5908700
4 1/2 Fiksjon,5896984
Temolo Productions,5892466
Gil Friesen,5892466
Mythic International Entertainment Production,5874635
Fortissimo Films,5872664
Familystyle,5865489
Submarine Entertainment,5865182
Mindplate.TV,5862029
Montecristo International Entertainment,5862029
Gas Mask Films,5862029
Roze,5862029
Sunbow,5849647
Louverture Films,5843078
Pampa Films,5840402
Hills Productions,5836441
21st Century Film Corporation,5835259
Pork Chop,5821137
Ministerio de Culture,5818427
Misent Producciones,5807634
Propaganda Italia,5807634
Brandsmith Motion Pictures,5801422
Select Media Holdings-Moving Pictures,5801422
Soficinema 12,5793399
Piggy Baenk,5786712
Gimpville,5786712
Turnlet Films,5767158
National Film Trustee Company,5763644
Python (Monty) Pictures,5763644
Roy Andersson Filmproduktion,5758767
Shemaroo Entertainment Limited,5749388
La Banque Postale Image 11,5719349
Zero Point Zero Productions Inc,5716884
IMG Films,5715389
Epic Pictures Group,5714855
Filmfondet Fuzz,5706638
SF Norge AS,5706638
Starburns Industries,5706168
Program Sensi Contemporanei Cinema,5703280
Shudder Films,5699270
Television Espanola,5697914
"Palm Pictures, LLC",5690797
Sight & Sound Films,5679324
Artikulo Uno Productions,5665641
Court Five,5664536
Belgacom,5656434
19340 Productions,5650874
Finecut,5636839
BKM,5634680
Kissiki Film,5631241
Discovery Productions,5625560
Une Hirondelle Productions,5622954
Republic Entertainment International,5622787
Jour2Fete,5621301
KS International,5617460
Cheetah Films,5617460
Wall to Wall Media,5617067
Bord Cadre,5603247
Panorama Films,5602584
Greenbelt Films,5599772
12 Productions,5599772
Jigsaw Productions,5584825
VIA EST,5578259
Belgian Tax Shelter System of the Belgian Federal Government,5578259
El Gobierno del Estado de Sonora,5571497
Dream Management and Entertainment,5571497
Madman Entertainment,5566403
Vistamar,5552584
BAM Film,5552584
Uhland Film,5552584
Barry Films,5536354
"Miles Davis Properties, LLC",5535869
Bifrost Pictures,5535869
Yellowsaw Productions Limited,5535869
Salvation Poem Project,5527868
Filmlink International,5519569
LOTR Films,5511343
Institut Francais Ministero Della Culture - Direzione Generale Cinema E Audiovisivo,5506686
RUV,5503634
RTE,5503412
Warner Brothers Germany,5494551
Epicentral Studios,5492478
Bun-Buku Inc,5481170
Fine Point Films,5477551
Loubyloo Productions,5476378
Autobahn Film Gmbh,5466698
Sprockefeller Pictures,5465271
Soficinema 5,5455736
Toscana Film Commission,5455736
Programme Media de la Communaute Europeenne,5455736
Patrick Quinet,5455736
Corazon Intl,5443295
Range Media Partners,5441863
la Region Auvergne-Rhone-Alpes,5439746
The Film Arcade,5438958
FilmHaven Entertainment,5438911
MayBach Cunningham,5438911
The Machine Room,5432014
Kirk Cameron Entertainment,5423735
Junglee Pictures,5418108
Film Forge Productions,5411740
4film,5411740
The Croatian Audiovisual Centre,5411740
Icelandic Film Centre,5411248
K Jam Media,5407738
Gladden Entertainment,5406879
"Duly Noted, Inc.",5403771
Gravitas Productions,5391992
American Family Studios,5391992
Wolfhouse Productions,5390094
Focus Fox Studio,5385796
Sofitvcine 4,5370957
Midnight Sun Pictures,5360095
La Boetie Films,5358711
PCH Films,5350694
Escape Productions,5337411
Made With Love Productions,5336183
Simpson Street,5336183
Shine Pictures,5328721
Bae Pictures,5324020
House of Cool,5320363
Les Belles Histoires Productions,5320289
Autonomous,5317076
Cinema Four,5314194
Jackie O Productions,5313608
Surefire Films,5313608
Radius TWC,5304960
Perpetual Media,5297411
Contentfilm International,5297411
Oxwich Media,5296258
Texon Entertainment,5295909
Chez Felix,5295130
Select Films,5292380
Endangered Film Company,5274950
The Russian Cinema Fund,5272302
Alexander Rodnyansky,5272302
Silver A,5264706
Lucky Man Films,5264706
Reel Life Production,5254378
Breaking Glass Pictures,5247075
Belga Productions,5245764
Coimisium Na Mean,5233393
Cedar Creek Prods,5228006
ICO,5226480
Mad Entertainment,5217907
True Colours,5217907
Rosebud Entertainment Pictures,5217907
Bubble Studios,5209010
Folivari,5207341
Sepia Films,5205106
DAP Italy,5205106
Benteveo Producciones,5205106
7Glab Entertainment,5205106
Orinoco Films,5205106
MTM Entertainment,5194491
Met Film Production,5180334
Victoires International,5175088
Pirol Film Productions,5175088
CrossDay Productions,5172041
Spark Features,5159063
Cedar Road,5154973
Antigravity,5154973
Unapologetic Projects,5154973
Liucrative Media,5154973
Jamal Zeinal-Zade,5149467
Garidi Films,5149467
Margot Zeinalzade,5149467
Jasmin Zeinalzade,5149467
Bunbuku,5149467
M.i Movies,5149467
Three Rivers Productions,5149131
Progress Film Distribution,5149131
Showtime Network,5149131
Scottish Arts Council,5149131
Glasgow Film Fund,5149131
Boomtown Films,5140006
Big Creek,5134175
Science Saru,5128246
Tips Industries,5124967
Hello Junior,5103675
Multithematiques,5103083
Historias Cinematograficas,5095227
Twinstone,5094646
The Northlight Studios,5094646
Quickbake Productions,5094646
Wrong Men,5094443
Autumn Productions,5082246
SENA,5067317
Escapade Pictures,5063452
The Daesung Group,5063452
Singlet Films,5063452
New Zealand On Air,5063452
Community Films,5059856
CinemaNX,5051698
FilmRise,5041681
Iris Productions,5033715
Panama Film Commission,5031975
Mandviwalla Entertainment Distribution,5019297
GEO Films,5019297
Encyclomedia,5019297
Lashari Films,5019297
AAA Motion Pictures,5019297
The Genre Company,5006181
Unstoppable Entertainment,5005100
Dorie Film,4997844
Macassar Productions,4997844
Cine1 Studios,4993878
K-Love Films,4989988
Grove Hill Productions,4972016
Strange Matter Films,4972016
REI Capital,4972016
Cofinova SRG SSR,4968678
Cinemage,4968678
L90 Producciones,4959360
Vintage Pictures,4958147
Wildcard,4956879
Naughty Step,4956879
Mother Tongues Films,4956879
Array,4952102
Rome Animation,4946941
Cinefeel 3,4942337
Indefilms 5,4942337
Soficinema 13,4942337
Cofinova 13,4942337
Esperanto Kino,4940419
Apocalypse Pictures,4935994
Claussen,4934509
Putz Filmproduktion,4934509
L + E Pictures,4934104
Film Constellation,4920771
Shine Box,4920099
Naked Eye Filmproduction,4917315
Wobke,4917315
The Imaginarium Studios,4903116
Fetisoff Illusion,4885296
Pola Pandora,4882256
Cofinova 12,4879137
Night Chills,4875436
Cinematic,4866243
Joe's Daughter,4863332
Gringo Films,4856525
MPN Cologne Film 3,4854356
Beanca Films,4854356
Kumie,4844807
La Region des Hauts de France,4841264
Rachid Bouchareb,4840375
Les Films du Kiosque,4837171
Films Boutique,4835426
Hideout Pictures,4824961
Asahi Shimbun,4817751
Dawn Parouse,4816142
Make Pictures,4816142
Indefilms 7,4806836
The Directors Company,4806693
Poison Chef,4801837
Ashutosh Gowariker Productions,4800715
First Point Entertainment,4799332
Norte Sur,4787818
MC Producciones,4787818
Dago Garcia,4787818
CNACC,4787818
Caracol Television,4787818
Proimagenes Colombia,4787818
Circle Film,4785988
Global Pictures Media,4781638
Bluestone Entertainment,4767892
Szechenyi Funds Ltd,4767892
Filmsquad,4767892
Media of the Europeen Union,4766508
Eyevox Entertainment,4752896
Elephant House,4742063
Poplar Publishing,4742063
MAM,4742063
Nagoya Broadcasting Network,4742063
Comme des Cinemas,4742063
Aeon Entertainment,4742063
Ralph S. Dietrich,4732232
Jumping Horse Film,4732232
Intercut Capital,4730228
Mewesings,4730228
Valparaiso Picture,4729579
GFA Animation,4729410
Fabrique D Images,4729410
Take Partnerships,4727375
LB Entertainment,4719387
Montauk Productions,4716967
Potemkino,4712718
Anchor Bay Films,4711072
Lisa Erspamer Entertainment,4703709
Kaly Productions,4692333
Three Folks Pictures,4687831
Joseph Brooks,4685097
Robert K. Lifton,4685097
Magnet Films,4683310
Ufficio Federale Della Cultura,4682963
Popecorn Cinematic Pictures,4674419
Mint Pictures,4674297
Hit the Ground Running,4672351
Titan Productions,4662851
Ana Media,4659110
Brock Media,4656647
Weydemann Bros.,4656647
FFA Filmforderungsanstalt,4656647
GG Filmz,4655147
DASF Films,4647606
Sunstone Film Productions,4639537
Magenta Light,4639537
BlockBox Entertainment,4638959
Votiv Films,4638344
Hypnotic Pictures,4630470
Garance Capital,4613771
Archimede-Fandango,4613771
Intesa Sanpaolo S.P.A.,4613771
Super Crispy Entertainment,4613380
Terz Film,4604818
North End Films,4604687
Walk the Line Entertainment,4604523
Wild Eddie Productions,4604523
Metro International,4604186
Little Runway,4594221
Mecanismo Films,4590641
Burn Later,4590341
Lyla Films,4589621
Oxido Picture,4585393
Animal De Luz Films,4585393
Azucar Films,4585393
Cacerola Films,4585393
Vietnam Films,4585393
Equipment Film & Design,4585393
Bonjour Pictures!,4584370
Creativity Capital,4580710
Latitute Entertainment,4580534
Dilettante,4580534
Televisa Films,4580534
Oriole Leafe Films,4580534
CAB Productions,4578071
VICE,4568234
Tchack,4567692
Dolphins Films,4563080
Eleven Arts,4558004
Conglomerate Media,4541683
ITVS,4531786
MAKE/FILMS,4529333
Triode Media Group LTD,4529333
Inspiring Films,4529333
Back Allie Prods,4527364
Fudge Park Productions,4523842
Off Media,4519390
Mercury Studios,4512277
Little Magic Films,4511553
Notorious Films,4510672
Post Film,4509143
Helsinki Filmi Oy,4503024
Sun Film,4496994
Les Films Seville,4492527
LBT,4489833
Yoki,4487130
V Creations,4485428
Screen Siren Pictures,4483355
Western Australian Regional Film Fund,4469187
Le CNC,4468995
Sayaka Productions,4465401
Concordia Studio,4462856
Redbird Entertainment,4460721
Baweja Studios Ltd.,4460721
Andrew Stevens Entertainment,4460721
CineMachine,4460721
ISRO Productions,4460721
Ifeelyoufilms,4460721
Rectangle Productions,4460145
Whitewater Films,4458526
Wyldwood Productions,4458000
Why Not You Productions,4458000
Chapter 2,4456645
Flanders Audiovisual Fund,4450729
Iron Hoss,4435571
TeaTime Pictures,4431093
Indefilms 8,4429309
Wondros,4429210
Buffalo 8 Productions,4428636
Sodium Fox,4423623
Salt Media and Entertainment,4413603
ACPI Investments LTD,4413603
Aurora Media Holdings,4413603
Jerusalem Film and Television Fund,4404758
Max Films,4402127
Polar,4398989
Manu Propria Entertainment,4392594
Latitude Entertainment,4392594
Scoop Productions,4389636
Zucker Productions,4385959
Samsa Film,4385306
Russia Inc,4383538
Projective Testing Service,4383538
Crab Apple Films,4377258
Memphis Mountaintop Media,4376820
Liquid Soul,4376820
GVN Releasing,4375835
Tiruppathi Brothers,4366276
26 Company,4362187
DC Comics,4361038
Blue Fox Entertainment,4346967
Waterstone,4344108
Yunnan Lucent Pictures LTD,4343617
"Beijing Zhongguancun Science City Construction Co., LTD",4343617
"Yunnan Cultural Industry Investment Holding Group Co., LTD",4343617
"Xiamen Xiangwang Film Co., LTD",4343617
"Spring Era Films Co,. LTD",4343617
"Mengmaren (Beijing) Film and Television Media Co., LTD",4343617
"San Sparkle (Beijing) International Culture Development Co,. LTD",4343617
Razor Films,4335425
Gramercy Park Media,4335310
Little Room,4334216
O2 Filmes,4331751
Cineimage 14,4329571
Bellwether Films,4328850
Galápagos Media,4325871
Hijo de Ogún,4325871
Producciones de la 5ta Avenida,4325871
Cygames,4324668
Hakuhodo DY Music and Pictures,4324668
Lantis Productions,4324668
P A Works,4324668
Elizabeth Bay Productions,4317397
Aceway,4317397
Dentsu Music and Entertainment,4316681
Cinema Seven Productions,4315789
S.J. Heat Productions,4315789
Double Dutch International,4309403
Cinemaginaire,4306754
Deluxe Australia,4303781
Inflammable Films,4303468
JBJ Film,4299600
Rollercoaster Films,4294373
Two and Two Pictures,4287666
Elara Pictures,4285859
IDTV Film production,4277957
Hanna-Barbera,4269402
Dreambridge Films,4266128
Anola Films,4259067
Impala,4259067
Babelsberg Production Service GmbH,4259067
Toshiba Entertainment,4259067
Cool Industrie,4253063
Moby Dick Films,4250268
Bergman Lustig Productions,4243996
Gulldrengurinn,4242611
Pierre Grise Productions,4240145
Koggull Filmworks,4230717
Camera Film A/S,4230717
Potemkine Films,4230717
CNC Nouvelles Technologies en Production,4230717
Solar Media Entertainment,4230717
Ministry of Culture of Ukraine,4230717
Martine Marignac,4230426
Maurice Tinchant,4230426
Albert Prevost,4230426
Namesake Entertainment,4224065
Cloud Ten Pictures,4224065
Studio Urania,4213298
American Masters,4213174
north.five.six,4213020
Electromagnetic Productions,4213020
Icon Film Distribution,4209425
Between the Eyes,4207102
Richard III Limited,4199334
Mirror Films,4195415
Wink Productions,4191023
Immersive Pictures,4191023
Wasserman Media Group,4182062
Godfrey Entertainment,4182062
Good Times,4181055
Golden Spike,4161533
NCRV,4161287
Norma Productions,4161034
Bronte Pictures,4159511
WBMC,4154630
October Films,4153633
Samwilla,4151836
Shaler Entertainment,4151836
Nota Bene Productions,4131781
Freecss Films Unlimited,4131781
Gibson & MacLeod,4131519
Same Player,4128855
Varsity Pictures,4128828
La Compagnie Cinematographique,4121803
Don't Look Now,4112070
IDL Films,4111601
Apollo Films,4111601
Jupiter Peak Productions,4105910
Northwest Productions,4104962
R.L. Entertainment,4100505
Oxford,4100000
Segue Productions,4100000
Living the Dream Films,4099450
Bleiberg Entertainment,4086171
Power Entertainment Media,4084232
Fly Film,4083881
Olive Productions,4082503
Mutressa Movies,4071472
Closer Media,4061240
Backup Media,4059051
Arsam Intl.,4058632
New Path Pictures,4051990
Island Pictures,4049609
New Black Films,4049200
Delirio Films,4045687
Mandarin Productions,4043105
Belga Films Fund,4029550
Palatine etoile 16,4029550
Cofimage 30,4029550
Mushroom Pictures,4024881
Ambush Entertainment,4023296
Celsius Entertainment,4022893
Vision Distribution,4021590
N-Focus Productions,4020990
Nfoke,4020990
A3 Films,4020990
Audiovisual SGR,4020990
Mount Santa Fe,4020990
Water & Power Productions,4020763
Atom Cinema,4013033
HT Entertainment Co,4013033
Avventurosa,4012970
Reposado,4011304
Social Animals,4009982
Cine Tamaris,4009982
No Money Productions,4008571
Titan Media,4000000
A Supermarche,3998976
Disarming Films,3997603
Productivity Media,3991973
KGB Media,3991848
Omeira Studio Partners,3988612
Menuet,3985226
Dargaud Media,3980494
Wunderwerk,3980494
Ramona Films,3976834
Skit Guys Studios,3973263
Doha Film Institute,3970327
Cinedora,3966316
Perceval Pictures,3950265
Diablo Entertainment,3950012
Cinedigm,3946903
Kamala Films,3944165
Vulcan Productions,3942897
Synchronistic Pictures,3942264
Bones,3934008
Sacem,3926878
Atmo,3921717
Paradise Lost Film A.I.E.,3917679
Junior Development,3917679
Manon 4,3917502
Office ApS,3915566
Twin Engine Films LTD.,3909976
Copper Island,3905950
Inver Tax Shelter,3899142
Cineventure Developpement,3896673
BFI Hanway Films,3895661
Maiden Investments,3895661
Beachside,3893170
Patriot Pictures,3887876
LightTower Entertainment,3872073
Robson Orr Entertainment,3871448
Fiore Group,3871448
Windsor Media,3871448
Alchemy,3866582
Blue Rider Finance,3865903
Media One Global,3865441
Asymmetrical Productions,3864927
Artifical Eye,3852164
Camberwell,3852164
Auvergne Rhone Alpes Region,3847465
CBBC,3845645
Lion Television,3845645
Citrus Films,3845645
Relic Pictures,3844815
Film & Music Entertainment,3843063
American Express,3830635
FFA,3830351
Fun Academy Motion Pictures,3823620
HS Pictures Studio,3821361
Seville Pictures,3820123
Mediabiz Capital,3820123
Media Max,3820123
Black Canopy Films,3805492
Pegasus Pictures,3805492
Czech Sirena Film,3804977
German Detail Film,3804977
Eurospace,3804815
Muchas Gracias,3803097
Achtung Panda! Media,3802750
American Light & Fixture,3798682
Strong Baby,3798682
Region Occitanie,3797992
Ford Foundation,3794476
Manon 6,3790109
Facing East Entertainment,3789126
Skyline Productions,3766479
Carol Baum Productions,3765773
Riviera Films,3764332
Magic Child,3754539
OLM,3746900
Live Entertainment,3742203
Ministry of Culture of the Russian Federation of the Cinema Fund and RuArts foundation,3736943
Les Films du Poisson,3735975
SG Image 2018,3722340
Palatine 17,3722340
La Banque Postale Image 13,3722340
Cofimage 31,3722340
Merlina Entertainment,3721988
1984 PDC,3721988
ITS Capital,3721988
Apparatus,3721988
Safady Entertainment,3721988
Romar/Boll KG Productions,3711633
Recifilms,3711539
Occupant Entertainment,3709876
Cuba Pictures,3703708
Agile Films,3702846
Travieso Productions,3701281
Chunchu Media,3697729
Tianmu Investments,3697729
Singular,3697729
EKOME,3694844
ERT,3694844
Cinema Group,3690228
Hat Tip Films,3679893
Indefilms 6,3674639
Cinecap,3674639
Fourth & Twenty8Films,3673126
Morag Loves Company,3669858
Princ Films,3662976
Rainy Day Films,3660636
Ehud Bleiberg,3658062
Haunted Movie,3642950
Carver Films,3640329
Trinity Broadcasting Network,3638796
BFB Entertainment,3635525
The Cartel,3634435
Illuminations Films,3633835
Kick the Machine Films,3633835
The Apocalypse Film Company,3633651
Bavaria Film Partners,3631623
Anna Sanders Films,3631333
Marlboro Road Gang,3630184
Hantz Motion Pictures,3629555
Velvet Bite Ltd.,3620902
Skyline (LVK) Ltd.,3620902
AV Pictures,3620902
GEM Global Entertainment Magyar,3620902
VisionPlus Fund 1,3620329
Digital Interference,3613222
Watch This Ready,3610428
Argonauts Productions S.A.,3610040
Robert Lantos,3610040
Final Cut For Real,3606062
El Norte,3598262
Mobius Entertainment,3598262
Ravine Pictures,3596550
Daryl Prince Productions,3589634
Kulture Machine,3587191
Peachtree Media Partners,3579507
Stray Bear Films,3576575
CTB Film Group,3574184
Space Rocket Nation,3569571
Nicolas Winding Refn,3559803
The Post Republic,3555579
Business Finland — Audiovisual Production Incentive,3545169
Sforzando,3535791
Showtime Documentary Films,3527900
Busboy,3524629
City Hill Arts,3510812
Schurmann Filmes,3510812
Content Studios,3510812
Alliance Entertainment,3504178
New Century Entertainment,3500046
Manon 8,3499472
Cineventure 3,3499472
ORF,3490638
Parkhouse Pictures,3489362
Spondoolie,3485383
Where We Live,3483795
Jempsa,3480251
Aamu Film Company,3474782
Hero Star Movie Cultural,3470000
Huanyu Zongheng Shiji Film Distribution,3470000
Leeding Media,3469955
Les Films d'Ici,3464747
British Screen,3463900
Rockhill Studios,3457763
IBC Movie,3457117
Arbie Productions,3455221
Africa Filmes,3455027
Kabo Films,3452334
Rocky Mountain Pictures,3439178
Alliance Communications,3436114
Amrion Productions,3434748
Fernando Trueba Productions,3425723
High Octane Pictures,3425635
Novus Content,3424454
51 Millimeter,3424454
Footage Films,3424454
Tribus P Films,3419806
Prowess Pictures,3408864
Ba-Ram-Ewe,3407036
Fondo Regionale Per Il Cinema E L'audiovisivo,3401801
West Madison Entertainment,3401038
Forward Films,3400216
Enigma Pictures,3394348
Prodigalfilm,3391996
Schiwago Film,3390245
Qianyi Times,3390000
